"","Estimate","low.95","up.95"
"(Intercept)",1.54435371177255,1.50101274657757,1.58608561424971
"swsi",0.0297799790684188,-0.0113901817689472,0.0717883106848701
"sInit",-0.0764067636369607,-0.100908883153274,-0.052025303938459
"siteutq",0.100344692171092,-0.0119759500204416,0.21134463216749
