"","Estimate","low.95","up.95"
"(Intercept)",1.60137516809068,1.52059802021006,1.68153462220609
"sxt",-0.014796505928345,-0.0347312132762096,0.0048508890478952
"sxw",-0.0168350612498912,-0.0501177734203729,0.0161602845096589
"swin_hi",0.0443220693492493,0.0029227203196957,0.0866896444878336
"sInit",-0.0753267205870175,-0.0996444791194754,-0.0511609343292907
"siteutq",0.100251245195189,-0.0115613838207716,0.210716483334941
