"","Nest","maxclutch","Init","year","site"
"1","ADS001",6,141,1994,"kig"
"2","ADS002",6,143,1994,"kig"
"3","ADS003",7,141,1994,"kig"
"4","ADS004",6,141,1994,"kig"
"5","ADS008",6,145,1994,"kig"
"6","ADS010",6,142,1994,"kig"
"7","ADS014",6,145,1994,"kig"
"8","ADS017",6,145,1994,"kig"
"9","ADS022",6,148,1994,"kig"
"10","ADS025",6,148,1994,"kig"
"11","ADS027",6,153,1994,"kig"
"12","ADS028",5,150,1994,"kig"
"13","ADS029",6,150,1994,"kig"
"14","ADS030",6,147,1994,"kig"
"15","ADS031",6,151,1994,"kig"
"16","ADS032",4,148,1994,"kig"
"17","ADS035",6,152,1994,"kig"
"18","ADS036",6,139,1994,"kig"
"19","ADS037",6,146,1994,"kig"
"20","ADS040",4,147,1994,"kig"
"21","ADS044",6,144,1994,"kig"
"22","ADS046",5,158,1994,"kig"
"23","KSB001",6,140,1994,"kig"
"24","KSB002",7,140,1994,"kig"
"25","KSB003",6,142,1994,"kig"
"26","KSB005",3,NA,1994,"kig"
"27","KSB006",7,147,1994,"kig"
"28","KSB007",5,150,1994,"kig"
"29","KSB009",7,149,1994,"kig"
"30","KSB011",6,147,1994,"kig"
"31","KSB014",4,151,1994,"kig"
"32","KSB016",3,152,1994,"kig"
"33","KSB017",4,150,1994,"kig"
"34","TDB001",3,155,1994,"kig"
"35","TDB002",4,155,1994,"kig"
"36","TDB003",4,155,1994,"kig"
"37","TDB004",6,145,1994,"kig"
"38","TLM001",6,141,1994,"kig"
"39","TLM003",6,141,1994,"kig"
"40","TLM004",5,141,1994,"kig"
"41","TLM007",6,142,1994,"kig"
"42","TLM012",6,140,1994,"kig"
"43","TLM014",7,143,1994,"kig"
"44","TLM016",7,141,1994,"kig"
"45","TLM017",6,141,1994,"kig"
"46","TLM019",6,146,1994,"kig"
"47","TLM020",6,146,1994,"kig"
"48","TLM021",5,143,1994,"kig"
"49","TLM023",5,143,1994,"kig"
"50","TLM026",5,140,1994,"kig"
"51","TLM028",6,141,1994,"kig"
"52","TLM029",5,147,1994,"kig"
"53","TLM031",6,145,1994,"kig"
"54","TLM032",5,142,1994,"kig"
"55","TLM033",7,145,1994,"kig"
"56","TLM042",5,145,1994,"kig"
"57","TLM043",6,145,1994,"kig"
"58","TLM045",5,133,1994,"kig"
"59","TLM046",6,146,1994,"kig"
"60","TLM047",6,143,1994,"kig"
"61","TLM051",6,144,1994,"kig"
"62","TLM052",3,151,1994,"kig"
"63","TLM053",6,142,1994,"kig"
"64","TLM067",5,152,1994,"kig"
"65","TLM070",6,146,1994,"kig"
"66","TLM071",5,147,1994,"kig"
"67","TLM073",5,150,1994,"kig"
"68","TLM074",5,144,1994,"kig"
"69","TLM075",5,145,1994,"kig"
"70","TLM078",6,148,1994,"kig"
"71","TLM079",7,150,1994,"kig"
"72","TLM080",6,140,1994,"kig"
"73","TLM082",5,148,1994,"kig"
"74","TLM083",4,155,1994,"kig"
"75","TLM087",5,142,1994,"kig"
"76","TLM088",6,148,1994,"kig"
"77","TLM091",6,138,1994,"kig"
"78","TLM094",4,144,1994,"kig"
"79","TLM096",5,149,1994,"kig"
"80","TLM097",4,146,1994,"kig"
"81","TLM099",5,156,1994,"kig"
"82","MRB003",5,143,1995,"kig"
"83","MRB004",6,140,1995,"kig"
"84","MRB007",6,144,1995,"kig"
"85","MRB010",6,146,1995,"kig"
"86","MRB011",5,143,1995,"kig"
"87","MRB012",4,146,1995,"kig"
"88","MRB014",6,147,1995,"kig"
"89","MRB016",6,141,1995,"kig"
"90","MRB017",5,145,1995,"kig"
"91","MRB019",5,148,1995,"kig"
"92","MRB021",5,140,1995,"kig"
"93","MRB022",4,149,1995,"kig"
"94","MRB025",6,141,1995,"kig"
"95","MRB027",6,145,1995,"kig"
"96","MRB029",6,145,1995,"kig"
"97","MRB030",6,144,1995,"kig"
"98","MRB031",5,135,1995,"kig"
"99","MRB032",5,148,1995,"kig"
"100","MRB033",6,144,1995,"kig"
"101","MRB034",5,146,1995,"kig"
"102","MRB035",4,143,1995,"kig"
"103","MRB036",5,143,1995,"kig"
"104","MRB037",4,152,1995,"kig"
"105","MRB039",2,145,1995,"kig"
"106","MRB040",4,146,1995,"kig"
"107","MRB041",5,147,1995,"kig"
"108","MRB042",4,144,1995,"kig"
"109","MRB046",5,148,1995,"kig"
"110","MRB049",4,149,1995,"kig"
"111","MRB050",4,156,1995,"kig"
"112","MRB051",5,148,1995,"kig"
"113","MRB052",6,151,1995,"kig"
"114","MRB053",3,157,1995,"kig"
"115","MRB054",5,151,1995,"kig"
"116","MRB055",5,154,1995,"kig"
"117","MRB056",2,151,1995,"kig"
"118","MRB060",4,155,1995,"kig"
"119","MRB061",5,148,1995,"kig"
"120","MRB062",6,145,1995,"kig"
"121","MRB063",4,153,1995,"kig"
"122","MRB064",2,153,1995,"kig"
"123","MRB065",6,146,1995,"kig"
"124","MRB066",5,145,1995,"kig"
"125","MRB067",2,147,1995,"kig"
"126","MRB071",3,155,1995,"kig"
"127","TLM007",5,143,1995,"kig"
"128","TLM016",6,144,1995,"kig"
"129","TLM017",5,145,1995,"kig"
"130","TLM018",5,142,1995,"kig"
"131","TLM019",5,145,1995,"kig"
"132","TLM026",6,144,1995,"kig"
"133","TLM028",4,147,1995,"kig"
"134","TLM029",6,141,1995,"kig"
"135","TLM030",6,145,1995,"kig"
"136","TLM031",5,142,1995,"kig"
"137","TLM032",3,145,1995,"kig"
"138","TLM033",6,146,1995,"kig"
"139","TLM034",3,146,1995,"kig"
"140","TLM039",6,144,1995,"kig"
"141","TLM040",5,146,1995,"kig"
"142","TLM043",5,144,1995,"kig"
"143","TLM044",5,145,1995,"kig"
"144","TLM045",5,148,1995,"kig"
"145","TLM046",4,145,1995,"kig"
"146","TLM048",5,145,1995,"kig"
"147","TLM051",6,147,1995,"kig"
"148","TLM052",4,145,1995,"kig"
"149","TLM056",5,152,1995,"kig"
"150","TLM057",5,144,1995,"kig"
"151","TLM058",6,139,1995,"kig"
"152","TLM059",5,152,1995,"kig"
"153","TLM060",6,143,1995,"kig"
"154","TLM061",5,143,1995,"kig"
"155","TLM062",8,153,1995,"kig"
"156","TLM063",5,144,1995,"kig"
"157","TLM064",5,144,1995,"kig"
"158","TLM065",5,152,1995,"kig"
"159","TLM066",6,144,1995,"kig"
"160","TLM067",5,152,1995,"kig"
"161","TLM069",5,144,1995,"kig"
"162","TLM071",5,148,1995,"kig"
"163","TLM072",3,154,1995,"kig"
"164","TLM073",2,155,1995,"kig"
"165","TLM074",5,148,1995,"kig"
"166","TLM075",4,155,1995,"kig"
"167","TLM076",4,146,1995,"kig"
"168","TLM078",5,138,1995,"kig"
"169","TLM079",4,158,1995,"kig"
"170","TLM080",4,156,1995,"kig"
"171","TLM081",4,153,1995,"kig"
"172","TLM082",2,156,1995,"kig"
"173","TLM084",6,150,1995,"kig"
"174","TLM089",4,152,1995,"kig"
"175","TLM090",5,155,1995,"kig"
"176","TLM091",5,142,1995,"kig"
"177","TLM092",4,158,1995,"kig"
"178","TLM093",3,164,1995,"kig"
"179","TLM094",1,145,1995,"kig"
"180","TLM096",4,151,1995,"kig"
"181","TLM097",6,151,1995,"kig"
"182","TLM098",5,152,1995,"kig"
"183","TLM099",4,163,1995,"kig"
"184","EFS001",4,134,1996,"kig"
"185","EFS003",5,136,1996,"kig"
"186","EFS004",6,136,1996,"kig"
"187","EFS005",5,139,1996,"kig"
"188","EFS007",5,137,1996,"kig"
"189","EFS008",5,138,1996,"kig"
"190","EFS010",6,139,1996,"kig"
"191","EFS011",6,138,1996,"kig"
"192","EFS013",6,140,1996,"kig"
"193","EFS015",6,141,1996,"kig"
"194","EFS018",5,135,1996,"kig"
"195","EFS020",5,142,1996,"kig"
"196","EFS022",6,142,1996,"kig"
"197","EFS023",5,145,1996,"kig"
"198","EFS024",6,144,1996,"kig"
"199","EFS025",6,138,1996,"kig"
"200","EFS027",5,142,1996,"kig"
"201","EFS028",4,145,1996,"kig"
"202","EFS029",4,145,1996,"kig"
"203","EFS032",5,146,1996,"kig"
"204","EFS034",4,137,1996,"kig"
"205","EFS035",5,146,1996,"kig"
"206","EFS036",5,137,1996,"kig"
"207","EFS038",6,137,1996,"kig"
"208","EFS040",6,140,1996,"kig"
"209","EFS042",6,142,1996,"kig"
"210","EFS046",5,148,1996,"kig"
"211","EFS049",6,143,1996,"kig"
"212","EFS051",5,150,1996,"kig"
"213","EFS052",6,141,1996,"kig"
"214","EFS053",6,141,1996,"kig"
"215","EFS054",5,139,1996,"kig"
"216","EFS058",5,151,1996,"kig"
"217","EFS060",4,146,1996,"kig"
"218","EFS062",4,145,1996,"kig"
"219","EFS063",5,153,1996,"kig"
"220","EFS066",5,146,1996,"kig"
"221","EFS068",5,150,1996,"kig"
"222","EFS069",5,145,1996,"kig"
"223","EFS070",6,138,1996,"kig"
"224","EFS071",6,138,1996,"kig"
"225","EFS072",2,143,1996,"kig"
"226","EFS073",5,140,1996,"kig"
"227","EFS074",5,140,1996,"kig"
"228","JMP001",4,144,1996,"kig"
"229","TLM001",6,133,1996,"kig"
"230","TLM002",6,137,1996,"kig"
"231","TLM003",3,139,1996,"kig"
"232","TLM004",5,139,1996,"kig"
"233","TLM005",6,139,1996,"kig"
"234","TLM006",5,139,1996,"kig"
"235","TLM007",6,136,1996,"kig"
"236","TLM008",6,139,1996,"kig"
"237","TLM009",6,139,1996,"kig"
"238","TLM010",4,140,1996,"kig"
"239","TLM011",6,140,1996,"kig"
"240","TLM013",6,140,1996,"kig"
"241","TLM014",6,140,1996,"kig"
"242","TLM017",5,141,1996,"kig"
"243","TLM019",6,142,1996,"kig"
"244","TLM020",4,139,1996,"kig"
"245","TLM024",3,143,1996,"kig"
"246","TLM025",4,143,1996,"kig"
"247","TLM026",6,143,1996,"kig"
"248","TLM027",6,143,1996,"kig"
"249","TLM028",6,142,1996,"kig"
"250","TLM029",2,143,1996,"kig"
"251","TLM030",6,143,1996,"kig"
"252","TLM037",5,145,1996,"kig"
"253","TLM040",6,144,1996,"kig"
"254","TLM048",5,145,1996,"kig"
