"","Nest","maxclutch","year","site"
"177","TLM092",4,1995,"kig"
"178","TLM093",3,1995,"kig"
"179","TLM094",1,1995,"kig"
"180","TLM096",4,1995,"kig"
"181","TLM097",6,1995,"kig"
"182","TLM098",5,1995,"kig"
"183","TLM099",4,1995,"kig"
"184","EFS001",4,1996,"kig"
"185","EFS003",5,1996,"kig"
"186","EFS004",6,1996,"kig"
"187","EFS005",5,1996,"kig"
"188","EFS007",5,1996,"kig"
"189","EFS008",5,1996,"kig"
"190","EFS010",6,1996,"kig"
"191","EFS011",6,1996,"kig"
"192","EFS013",6,1996,"kig"
"193","EFS015",6,1996,"kig"
"194","EFS018",5,1996,"kig"
"195","EFS020",5,1996,"kig"
"196","EFS022",6,1996,"kig"
"197","EFS023",5,1996,"kig"
"198","EFS024",6,1996,"kig"
"199","EFS025",6,1996,"kig"
"200","EFS027",5,1996,"kig"
"201","EFS028",4,1996,"kig"
"202","EFS029",4,1996,"kig"
"203","EFS032",5,1996,"kig"
"204","EFS034",4,1996,"kig"
"205","EFS035",5,1996,"kig"
"206","EFS036",5,1996,"kig"
"207","EFS038",6,1996,"kig"
"208","EFS040",6,1996,"kig"
"209","EFS042",6,1996,"kig"
"210","EFS046",5,1996,"kig"
"211","EFS049",6,1996,"kig"
"212","EFS051",5,1996,"kig"
"213","EFS052",6,1996,"kig"
"214","EFS053",6,1996,"kig"
"215","EFS054",5,1996,"kig"
"216","EFS058",5,1996,"kig"
"217","EFS060",4,1996,"kig"
"218","EFS062",4,1996,"kig"
"219","EFS063",5,1996,"kig"
"220","EFS066",5,1996,"kig"
"221","EFS068",5,1996,"kig"
"222","EFS069",5,1996,"kig"
"223","EFS070",6,1996,"kig"
"224","EFS071",6,1996,"kig"
"225","EFS072",2,1996,"kig"
"226","EFS073",5,1996,"kig"
"227","EFS074",5,1996,"kig"
"228","JMP001",4,1996,"kig"
"229","TLM001",6,1996,"kig"
"230","TLM002",6,1996,"kig"
"231","TLM003",3,1996,"kig"
"232","TLM004",5,1996,"kig"
"233","TLM005",6,1996,"kig"
"234","TLM006",5,1996,"kig"
"235","TLM007",6,1996,"kig"
"236","TLM008",6,1996,"kig"
"237","TLM009",6,1996,"kig"
"238","TLM010",4,1996,"kig"
"239","TLM011",6,1996,"kig"
"240","TLM013",6,1996,"kig"
"241","TLM014",6,1996,"kig"
"242","TLM017",5,1996,"kig"
"243","TLM019",6,1996,"kig"
"244","TLM020",4,1996,"kig"
"245","TLM024",3,1996,"kig"
"246","TLM025",4,1996,"kig"
"247","TLM026",6,1996,"kig"
"248","TLM027",6,1996,"kig"
"249","TLM028",6,1996,"kig"
"250","TLM029",2,1996,"kig"
"251","TLM030",6,1996,"kig"
"252","TLM037",5,1996,"kig"
"253","TLM040",6,1996,"kig"
"254","TLM048",5,1996,"kig"
"255","TLM049",6,1996,"kig"
"256","TLM050",5,1996,"kig"
"257","TLM051",6,1996,"kig"
"258","TLM052",6,1996,"kig"
"259","TLM053",6,1996,"kig"
"260","TLM054",5,1996,"kig"
"261","TLM055",6,1996,"kig"
"262","TLM056",6,1996,"kig"
"263","TLM057",4,1996,"kig"
"264","TLM058",5,1996,"kig"
"265","TLM060",5,1996,"kig"
"266","TLM063",5,1996,"kig"
"267","TLM064",1,1996,"kig"
"268","TLM067",6,1996,"kig"
"269","TLM069",5,1996,"kig"
"270","TLM070",5,1996,"kig"
"271","TLM072",5,1996,"kig"
"272","TLM073",5,1996,"kig"
"273","TLM074",5,1996,"kig"
"274","TLM075",6,1996,"kig"
"275","TLM080",5,1996,"kig"
"276","TLM082",5,1996,"kig"
"277","TLM083",4,1996,"kig"
"278","TLM084",6,1996,"kig"
"279","TLM085",4,1996,"kig"
"280","TLM086",5,1996,"kig"
"281","TLM087",4,1996,"kig"
"282","TLM088",4,1996,"kig"
"283","TLM089",6,1996,"kig"
"284","TLM094",6,1996,"kig"
"285","TLM095",5,1996,"kig"
"286","TLM096",3,1996,"kig"
"287","TLM097",5,1996,"kig"
"288","TLM098",5,1996,"kig"
"289","TLM099",4,1996,"kig"
"290","TLM100",5,1996,"kig"
"291","TLM102",4,1996,"kig"
"292","TLM103",5,1996,"kig"
"293","TLM104",4,1996,"kig"
"294","TLM105",4,1996,"kig"
"295","TLM107",5,1996,"kig"
"296","TLM108",6,1996,"kig"
"297","TLM109",2,1996,"kig"
"298","TLM110",5,1996,"kig"
"299","TLM114",5,1996,"kig"
"300","TLM115",2,1996,"kig"
"301","EFS001",5,1997,"kig"
"302","EFS004",6,1997,"kig"
"303","EFS011",5,1997,"kig"
"304","EFS013",5,1997,"kig"
"305","EFS018",6,1997,"kig"
"306","EFS020",4,1997,"kig"
"307","EFS022",6,1997,"kig"
"308","EFS023",4,1997,"kig"
"309","EFS025",4,1997,"kig"
"310","EFS026",5,1997,"kig"
"311","EFS028",6,1997,"kig"
"312","EFS029",6,1997,"kig"
"313","EFS030",4,1997,"kig"
"314","EFS032",4,1997,"kig"
"315","EFS033",4,1997,"kig"
"316","EFS034",5,1997,"kig"
"317","EFS035",5,1997,"kig"
"318","EFS037",6,1997,"kig"
