"STATION","NAME","DATE","AWND","FMTM","PGTM","TAVG","TMAX","TMIN","WDF1","WDF2","WDF5","WDFG","WDFM","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-06","5.9"," 2156"," 2214",,"1.7","-2.2","  170",,,"  180",,"8.0",,,"11.8",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-07","6.6"," 2358"," 0025",,"1.7","0.0","   80",,,"  135",,"8.9",,,"13.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-08","5.8"," 0259"," 0024",,"2.2","-1.7","   80",,,"   90",,"10.3",,,"15.4",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-09","4.2"," 0056"," 0009",,"1.7","0.0","  120",,,"  135",,"9.4",,,"11.8",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-10","9.4"," 2356"," 2313",,"2.2","0.6","   80",,,"   90",,"13.9",,,"20.6",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-11","12.5"," 0654"," 0004",,"2.8","0.6","   70",,,"   90",,"16.1",,,"20.6",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-12","6.1"," 2017"," 2242",,"1.7","-2.2","   20",,,"  360",,"10.3",,,"12.3",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-13","9.5"," 1150"," 1709",,"-1.7","-3.3","   30",,,"  360",,"11.2",,,"14.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-14","8.0"," 0358"," 0025",,"-1.7","-2.8","  350",,,"  360",,"10.3",,,"14.4",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-15","5.0"," 0557"," 0024",,"-0.6","-4.4","  360",,,"  360",,"6.3",,,"8.7",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-16","2.9"," 0851"," 0907",,"-1.7","-10.6","  290",,,"  270",,"5.4",,,"6.2",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-17","2.5"," 0828"," 0011",,"-1.1","-13.9","  180",,,"  270",,"6.3",,,"11.8",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-18","3.0"," 2255"," 2339",,"-2.2","-10.6","  310",,,"  315",,"4.0",,,"5.1",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-19","5.6"," 2152"," 2237",,"-1.1","-11.7","   50",,,"   45",,"10.3",,,"12.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-20","12.7"," 2253"," 2128",,"-1.7","-3.9","  360",,,"  360",,"16.1",,,"20.6",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-21","12.3"," 2353"," 0955",,"-2.8","-4.4","  360",,,"  360",,"14.8",,,"19.5",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-22","8.8"," 1651"," 0322",,"-3.9","-7.2","  280",,,"  360",,"10.3",,,"13.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-23","8.8"," 1755"," 2027",,"-5.6","-8.3","  300",,,"  315",,"11.2",,,"15.4",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-24","7.3"," 0459"," 0235",,"-6.1","-11.1","  330",,,"  315",,"12.5",,,"15.4",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-25","5.7"," 2254"," 2307",,"-1.1","-17.2","  110",,,"   90",,"11.2",,,"14.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-26","9.7"," 0555"," 0412",,"2.2","-1.7","  120",,,"   90",,"13.4",,,"18.5",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-27","5.2"," 2352"," 1942",,"1.1","0.0","  270",,,"  135",,"8.0",,,"10.3",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-28","4.8"," 0546"," 0511",,"1.7","-7.2","  280",,,"  225",,"9.8",,,"12.3",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-29","10.0"," 1154"," 2136",,"2.2","-5.6","   60",,,"  225",,"14.8",,,"20.0",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-30","7.0"," 0150"," 0232",,"1.7","-9.4","  220",,,"  225",,"13.0",,,"19.5",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-31","10.5"," 1725"," 1547",,"2.8","-9.4","   70",,,"   90",,"16.1",,,"20.6",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-02-01","11.2"," 0258"," 0304",,"3.3","2.2","   90",,,"   90",,"15.6",,,"19.0",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-02-02","9.2"," 1453"," 0809",,"3.9","1.7","  100",,,"   90",,"11.2",,,"15.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-02-03","11.9"," 1750"," 1643",,"2.2","-6.7","   20",,,"  360",,"13.9",,,"19.5",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-02-04","8.9"," 2054"," 2302",,"2.8","-5.0","   90",,,"   90",,"11.6",,,"17.5",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-02-05","10.6"," 1258"," 1252",,"3.3","1.1","   90",,,"   90",,"13.4",,,"17.5",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-02-06","7.3"," 0047"," 0157",,"2.2","0.6","   80",,,"   90",,"10.7",,,"13.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-02-07","3.9"," 2353"," 1432",,"2.2","-1.1","   80",,,"   90",,"6.3",,,"6.7",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-02-08","5.8"," 1828"," 1807",,"2.2","-2.2","   30",,,"   45",,"8.9",,,"10.8",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-02-09","9.2"," 2155"," 2135",,"2.8","0.6","   40",,,"   45",,"13.0",,,"14.4",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-02-10","4.3"," 0055"," 0018",,"3.9","-3.9","   50",,,"   45",,"11.2",,,"13.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-02-11","2.8"," 2035"," 2310",,"3.9","-6.1","   40",,,"   45",,"5.4",,,"6.7",
