"","year_winter","ws_count_sic_ge95","winter_count_sic_ge95","spring_count_sic_ge95","ws_count_sic_le15","winter_count_sic_le15","spring_count_sic_le15","ws_index","winter_index","spring_index"
"1",1979,41,36,5,25,25,0,10.7505568153683,10.7505568153683,10.7505568153683
"2",1980,28,20,8,21,21,0,10.2273086716038,10.2273086716038,10.2273086716038
"3",1981,29,22,7,19,19,0,8.31776616671934,8.31776616671934,8.31776616671934
"4",1982,17,15,2,28,28,0,0,0,0
"5",1983,15,11,4,38,38,0,4.68213122712422,4.68213122712422,4.68213122712422
"6",1984,17,5,12,47,47,0,26.3768480007821,26.3768480007821,26.3768480007821
"7",1985,18,17,1,33,33,0,0,0,0
"8",1986,23,15,8,34,34,0,23.0258509299405,23.0258509299405,23.0258509299405
"9",1987,55,51,4,28,28,0,8.0471895621705,8.0471895621705,8.0471895621705
"10",1988,55,49,6,49,41,8,8.0471895621705,8.0471895621705,8.0471895621705
"11",1989,72,64,8,52,52,0,8.31776616671934,8.31776616671934,8.31776616671934
"12",1990,71,56,15,47,47,0,30.2569033768259,30.2569033768259,30.2569033768259
"13",1991,66,41,25,54,54,0,77.6595862894706,77.6595862894706,77.6595862894706
"14",1992,58,51,7,40,36,4,13.6213710433872,13.6213710433872,13.6213710433872
"15",1993,55,46,9,50,50,0,19.775021196026,19.775021196026,19.775021196026
"16",1994,86,79,7,37,37,0,8.84101431048389,8.84101431048389,8.84101431048389
"17",1995,60,55,5,55,53,2,8.0471895621705,8.0471895621705,8.0471895621705
"18",1996,52,39,13,65,64,1,31.2051741585759,31.2051741585759,31.2051741585759
"19",1997,74,63,11,48,48,0,23.0258509299405,23.0258509299405,23.0258509299405
"20",1998,75,57,18,60,60,0,33.0294920990657,33.0294920990657,33.0294920990657
"21",1999,83,73,10,28,28,0,29.818879797456,29.818879797456,29.818879797456
"22",2000,10,0,10,111,109,2,12.476649250079,12.476649250079,12.476649250079
"23",2001,69,51,18,45,45,0,44.3986746953407,44.3986746953407,44.3986746953407
"24",2002,44,35,9,78,74,4,10.2273086716038,10.2273086716038,10.2273086716038
"25",2003,45,42,3,74,74,0,3.29583686600433,3.29583686600433,3.29583686600433
"26",2004,38,25,13,65,61,4,29.818879797456,29.818879797456,29.818879797456
"27",2005,90,79,11,34,34,0,31.2051741585759,31.2051741585759,31.2051741585759
"28",2006,63,53,10,54,54,0,16.094379124341,16.094379124341,16.094379124341
"29",2007,73,46,27,54,54,0,83.7677324877093,83.7677324877093,83.7677324877093
"30",2008,77,54,23,51,51,0,80.471895621705,80.471895621705,80.471895621705
"31",2009,94,65,29,44,44,0,102.035921449865,102.035921449865,102.035921449865
"32",2010,72,51,21,63,60,3,63.9349711921919,63.9349711921919,63.9349711921919
"33",2011,75,52,23,45,45,0,76.2732919283507,76.2732919283507,76.2732919283507
"34",2012,79,57,22,46,46,0,55.1119763712048,55.1119763712048,55.1119763712048
"35",2013,45,38,7,64,55,9,9.43348392329039,9.43348392329039,9.43348392329039
"36",2014,21,14,7,98,94,4,8.84101431048389,8.84101431048389,8.84101431048389
"37",2015,15,11,4,91,79,12,3.29583686600433,3.29583686600433,3.29583686600433
"38",2016,30,28,2,104,95,9,1.38629436111989,1.38629436111989,1.38629436111989
"39",2017,0,0,0,169,139,30,0,0,0
"40",2018,2,2,0,117,92,25,0,0,0
"41",2019,33,33,0,84,76,8,0,0,0
